Track name, Artist name, Album, Playlist name, Type
Speaking With Ghosts - Faint,,,Liked videos,Favorite
Speaking With Ghosts - Waste Away,,,Liked videos,Favorite
Speaking With Ghosts - Woven in Gold,,,Liked videos,Favorite
Sleep Waker - Hell,,,Liked videos,Favorite
Prison - Still Alive,,,Liked videos,Favorite
Prison - The Knife and the Dying Dream,,,Liked videos,Favorite
October Ends - From The Inside,,,Liked videos,Favorite
Alpha Wolf · John Arnold · Lochlan Keogh · Mitchell Fogarty · Sabian Lynch · Scott Simpson · John Arnold · Lochlan Keogh · Mitchell Fogarty · Sabian Lynch · Scott Simpson - Sub-Zero,,,Liked videos,Favorite
Alpha Wolf - Black Mamba,,,Liked videos,Favorite
Alpha Wolf - No Name,,,Liked videos,Favorite
Alpha Wolf - Golden Fate; Water Break,,,Liked videos,Favorite
3TEETH · HO99O9 - Lights Out,,,Liked videos,Favorite
Glass Hands - Struggle to Sleep,,,Liked videos,Favorite
Seven - Skyline Divided,,,Liked videos,Favorite
coldrain - BREATHE,,,Liked videos,Favorite
Smash Into Pieces · Per Bergquist - Stay,,,Liked videos,Favorite
A Trigger Within - Bend or Break,,,Liked videos,Favorite
Oh Hiroshima · Jakob Hemström · Oskar Nilsson · Simon Axelsson · Leif Eliasson - Neu,,,Liked videos,Favorite
Stain the Canvas - Hell Made Me,,,Liked videos,Favorite
Concepts - Beautiful Things,,,Liked videos,Favorite
Relent - Changed,,,Liked videos,Favorite
Saving Vice - Nerve Damage,,,Liked videos,Favorite
Coldcasket - O.D,,,Liked videos,Favorite
Concepts - Shadow Walker,,,Liked videos,Favorite
Currents · Chris Wiseman · Brian Willie · Ryan Castaldi · Matt Young · Chris Wiseman · Brian Willie · Ryan Castaldi · Matt Young - Second Skin,,,Liked videos,Favorite
Concepts - Mirrors,,,Liked videos,Favorite
Concepts - Vultures,,,Liked videos,Favorite
Concepts - Virtualscape,,,Liked videos,Favorite
Concepts - Abomination,,,Liked videos,Favorite
Concepts - Deadlocked,,,Liked videos,Favorite
My Enemies & I - The Beast Inside,,,Liked videos,Favorite
My Enemies & I - Toxic,,,Liked videos,Favorite
Ghostemane - Carbomb,,,Liked videos,Favorite
Ghostemane - Pink Mist,,,Liked videos,Favorite
Varials - Maze,,,Liked videos,Favorite
Written By Wolves - To Tell You the Truth,,,Liked videos,Favorite
Written by Wolves - Not Afraid to Die,,,Liked videos,Favorite
FIDLAR - Cocaine,,,Liked videos,Favorite
Psychostick - Obey the Beard,,,Liked videos,Favorite
Psychostick - Beer!,,,Liked videos,Favorite
Psychostick - Numbers (I Can Only Count to Four),,,Liked videos,Favorite
Architects - Hereafter,,,Liked videos,Favorite
Slaves - Prayers,,,Liked videos,Favorite
Dead by April - Memory,,,Liked videos,Favorite
The Raven Age - Grave of the Fireflies,,,Liked videos,Favorite
Solence - Animal In Me,,,Liked videos,Favorite
Leader - This Is Why We Bleed,,,Liked videos,Favorite
Nerv - Bad Habits,,,Liked videos,Favorite
Falling In Reverse - Drugs,,,Liked videos,Favorite
Falling In Reverse - Losing My Life,,,Liked videos,Favorite
Falling In Reverse - I'm Not A Vampire,,,Liked videos,Favorite
Falling In Reverse - Losing My Mind,,,Liked videos,Favorite
Falling In Reverse - Good Girls Bad Guys,,,Liked videos,Favorite
Falling In Reverse - Alone,,,Liked videos,Favorite
Falling In Reverse - Bad Girls Club,,,Liked videos,Favorite
Falling In Reverse - Fashionably Late,,,Liked videos,Favorite
Falling in Reverse - Gangsta's Paradise,,,Liked videos,Favorite
The Raven Age - Angel in Disgrace,,,Liked videos,Favorite
Solence - Blackout,,,Liked videos,Favorite
Written by Wolves - Pretty Lies,,,Liked videos,Favorite
Written By Wolves - Let It Burn,,,Liked videos,Favorite
Written by Wolves - Genius,,,Liked videos,Favorite
Written By Wolves - Starlight,,,Liked videos,Favorite
GHOSTEMANE - Pathetic,,,Liked videos,Favorite
BONES - ICanSeeMyHouseFromHere,,,Liked videos,Favorite
From Ashes to New - Panic,,,Liked videos,Favorite
Solence - Heaven,,,Liked videos,Favorite
Solence - Death Do Us Part,,,Liked videos,Favorite
Solence - Immortals,,,Liked videos,Favorite
Solence - Believer,,,Liked videos,Favorite
Solence - Ghosts,,,Liked videos,Favorite
The Veer Union - Nightmare,,,Liked videos,Favorite
Ice Nine Kills - Your Number's Up,,,Liked videos,Favorite
Slaves - Talk to a Friend,,,Liked videos,Favorite
Caskets - Signs,,,Liked videos,Favorite
In This Moment - The In-Between,,,Liked videos,Favorite
NOTHING MORE - Fade In / Fade Out,,,Liked videos,Favorite
STATE OF MINE - What Hurts the Most,,,Liked videos,Favorite
Slaves - People That You Meet,,,Liked videos,Favorite
Slaves - Artificial Intelligence,,,Liked videos,Favorite
Glass Hands - Bouquet,,,Liked videos,Favorite
Glass Hands - Waiting Room,,,Liked videos,Favorite
Glass Hands - In the Hands of a Broken Man,,,Liked videos,Favorite
Slaves - Heavier,,,Liked videos,Favorite
Dayseeker - Crooked Soul,,,Liked videos,Favorite
Ice Nine Kills - The American Nightmare,,,Liked videos,Favorite
